File Name,Angle,PSNR (dB),SSIM
00_single_triangle7_-45.npy,-45,35.5563,0.9709
01_single_triangle7_-44.npy,-44,38.2346,0.9728
02_single_triangle7_-43.npy,-43,35.7767,0.9689
03_single_triangle7_-42.npy,-42,37.9652,0.9724
04_single_triangle7_-41.npy,-41,37.8242,0.9722
05_single_triangle7_-40.npy,-40,37.6040,0.9721
06_single_triangle7_-39.npy,-39,37.5030,0.9725
07_single_triangle7_-38.npy,-38,37.6841,0.9735
08_single_triangle7_-37.npy,-37,37.6192,0.9740
09_single_triangle7_-36.npy,-36,33.6893,0.9707
10_single_triangle7_-35.npy,-35,33.5795,0.9716
11_single_triangle7_-34.npy,-34,34.2782,0.9770
12_single_triangle7_-33.npy,-33,37.2847,0.9782
13_single_triangle7_-32.npy,-32,37.2002,0.9810
14_single_triangle7_-31.npy,-31,37.1221,0.9814
15_single_triangle7_-30.npy,-30,37.1919,0.9809
16_single_triangle7_-29.npy,-29,37.1846,0.9805
17_single_triangle7_-28.npy,-28,37.2099,0.9799
18_single_triangle7_-27.npy,-27,36.9943,0.9792
19_single_triangle7_-26.npy,-26,37.1175,0.9791
20_single_triangle7_-25.npy,-25,37.0737,0.9778
21_single_triangle7_-24.npy,-24,37.0056,0.9752
22_single_triangle7_-23.npy,-23,35.2864,0.9721
23_single_triangle7_-22.npy,-22,33.5174,0.9717
24_single_triangle7_-21.npy,-21,36.6960,0.9777
25_single_triangle7_-20.npy,-20,36.8141,0.9800
26_single_triangle7_-19.npy,-19,34.0728,0.9771
27_single_triangle7_-18.npy,-18,36.4477,0.9821
28_single_triangle7_-17.npy,-17,34.3924,0.9827
29_single_triangle7_-16.npy,-16,30.7498,0.9802
30_single_triangle7_-15.npy,-15,33.6553,0.9850
31_single_triangle7_-14.npy,-14,32.6663,0.9855
32_single_triangle7_-13.npy,-13,36.1765,0.9875
33_single_triangle7_-12.npy,-12,35.8099,0.9875
34_single_triangle7_-11.npy,-11,31.5731,0.9835
35_single_triangle7_-10.npy,-10,35.8404,0.9879
36_single_triangle7_-9.npy,-9,33.5670,0.9879
37_single_triangle7_-8.npy,-8,35.0084,0.9893
38_single_triangle7_-7.npy,-7,34.7815,0.9895
39_single_triangle7_-6.npy,-6,34.4631,0.9907
40_single_triangle7_-5.npy,-5,34.2968,0.9912
41_single_triangle7_-4.npy,-4,33.7101,0.9907
42_single_triangle7_-3.npy,-3,33.3234,0.9905
43_single_triangle7_-2.npy,-2,33.4916,0.9910
44_single_triangle7_-1.npy,-1,33.5780,0.9909
45_single_triangle7_+0.npy,0,117.7844,1.0000
46_single_triangle7_+1.npy,1,54.9042,0.9998
47_single_triangle7_+2.npy,2,54.5565,0.9997
48_single_triangle7_+3.npy,3,64.0261,0.9995
49_single_triangle7_+4.npy,4,60.6316,0.9990
50_single_triangle7_+5.npy,5,53.7684,0.9986
51_single_triangle7_+6.npy,6,53.3353,0.9979
52_single_triangle7_+7.npy,7,42.7841,0.9953
53_single_triangle7_+8.npy,8,44.9317,0.9958
54_single_triangle7_+9.npy,9,38.0764,0.9943
55_single_triangle7_+10.npy,10,53.9676,0.9946
56_single_triangle7_+11.npy,11,51.7740,0.9949
57_single_triangle7_+12.npy,12,53.0941,0.9948
58_single_triangle7_+13.npy,13,52.5873,0.9943
59_single_triangle7_+14.npy,14,35.7099,0.9926
60_single_triangle7_+15.npy,15,31.2817,0.9898
61_single_triangle7_+16.npy,16,49.4815,0.9912
62_single_triangle7_+17.npy,17,31.9447,0.9879
63_single_triangle7_+18.npy,18,49.9685,0.9895
64_single_triangle7_+19.npy,19,48.7426,0.9882
65_single_triangle7_+20.npy,20,48.5080,0.9867
66_single_triangle7_+21.npy,21,48.6614,0.9849
67_single_triangle7_+22.npy,22,47.6497,0.9822
68_single_triangle7_+23.npy,23,41.9376,0.9782
69_single_triangle7_+24.npy,24,47.2896,0.9820
70_single_triangle7_+25.npy,25,47.3972,0.9846
71_single_triangle7_+26.npy,26,47.3893,0.9860
72_single_triangle7_+27.npy,27,47.6066,0.9866
73_single_triangle7_+28.npy,28,39.1986,0.9857
74_single_triangle7_+29.npy,29,46.6731,0.9873
75_single_triangle7_+30.npy,30,46.4194,0.9876
76_single_triangle7_+31.npy,31,46.8508,0.9886
77_single_triangle7_+32.npy,32,47.0058,0.9881
78_single_triangle7_+33.npy,33,46.8515,0.9853
79_single_triangle7_+34.npy,34,42.9266,0.9832
80_single_triangle7_+35.npy,35,46.6011,0.9824
81_single_triangle7_+36.npy,36,46.4963,0.9815
82_single_triangle7_+37.npy,37,46.6241,0.9807
83_single_triangle7_+38.npy,38,46.3006,0.9800
84_single_triangle7_+39.npy,39,45.8599,0.9796
85_single_triangle7_+40.npy,40,44.9688,0.9785
86_single_triangle7_+41.npy,41,45.7818,0.9786
87_single_triangle7_+42.npy,42,46.4179,0.9787
88_single_triangle7_+43.npy,43,46.8059,0.9789
89_single_triangle7_+44.npy,44,47.0500,0.9790
90_single_triangle7_+45.npy,45,47.2416,0.9805
